benchmark,problem size,block size,partition mode,kernel iteration,input conversion,kernel execution,output conversion,total time,kernel speedup,total speedup,RMSE%,error rate,error percentage,SSIM,PNSR
mean_2d,8192,1024,cg_s,100,893.612,380.827,2147.03,3421.47,1.6937,0.599121,0.00300637,0.000132587,0.00282277,0.999968,77.512,
mean_2d,8192,1024,gt_s,100,1412.53,763.859,1985.38,4161.77,0.814471,0.485702,0.0166973,0.00427333,0.422771,0.999054,62.6199,
mean_2d,8192,1024,ct_s,100,1221.93,757.31,1882.94,3862.19,0.815466,0.522572,0.0166973,0.00427333,0.422771,0.999054,62.6199,
mean_2d,8192,1024,cgt_b,100,415.107,277.705,2077.24,2770.05,2.23048,0.729312,0.0112444,0.00184218,0.173592,0.999555,66.0541,
mean_2d,8192,1024,cg_b,100,415.195,340.56,2251.65,3007.4,1.8218,0.672026,0.00300637,0.000132587,0.00282277,0.999968,77.512,
mean_2d,8192,1024,gt_b,100,413.687,516.779,1964.82,2895.28,1.34038,0.722823,0.0144419,0.00312423,0.304288,0.999279,63.8803,
mean_2d,8192,1024,ct_b,100,414.96,414.694,1996.96,2826.61,1.50455,0.715852,0.0136466,0.00276054,0.268586,0.999353,64.3723,
mean_2d,8192,2048,cpu,100,120.621,617.854,1398.68,2137.15,1.00156,0.944888,0,0,0,1,inf,
mean_2d,8192,2048,gpu,100,698.42,422.052,1468.48,2588.96,1.47043,0.780733,0,0,0,1,inf,
mean_2d,8192,2048,cgt_s,100,1123.62,448.234,2061.23,3633.09,1.39311,0.557378,0.0103353,0.00214168,0.234528,0.999629,66.7864,
mean_2d,8192,2048,cg_s,100,855.054,345.758,2235.83,3436.64,1.9209,0.600835,0.00198845,5.75135e-05,0.00120682,0.999986,81.1025,
mean_2d,8192,2048,gt_s,100,1351.63,723.619,2029.44,4104.69,0.879728,0.496372,0.0119809,0.00318458,0.353734,0.999515,65.503,
mean_2d,8192,2048,ct_s,100,1080.05,779.771,1826.65,3686.48,0.814926,0.552321,0.0119809,0.00318458,0.353734,0.999515,65.503,
mean_2d,8192,2048,cgt_b,100,392.335,271.323,2187.33,2850.98,2.3157,0.711473,0.00710011,0.00115578,0.124483,0.999823,70.0475,
mean_2d,8192,2048,cg_b,100,391.374,269.304,2190.19,2850.87,2.34734,0.712938,0.00710011,0.00115578,0.124483,0.999823,70.0475,
mean_2d,8192,2048,gt_b,100,389.525,355.468,2043.09,2788.08,1.74226,0.724749,0.00878906,0.00163504,0.177707,0.99973,68.194,
mean_2d,8192,2048,ct_b,100,390.267,541.33,1940.56,2872.16,1.21386,0.716528,0.0107776,0.0024527,0.269439,0.999601,66.4223,
